clip_id,folder,new_object,agent_service_config,is_valid
c-5b192864-7e2a-3f53-9ac3-79a199e37a9f,trained_model_v231_ppu_v1.3_1347,SUV,cut_in_left,FALSE
c-4155db0f-0930-3e4b-bda2-56555b893ee5,trained_model_v230_ppu_1347,SUV,real_data_test_cycle_crossing_60,FALSE
c-f94f342a-3d22-314f-ba45-2d0151a8cb58,trained_model_v231_v231_1347,SUV,cut_in_left,FALSE
c-d835ab20-6e5f-3a77-a711-dc69e1837b3b,trained_model_v231_ppu_v1.3_1347,SUV,cut_in_left,FALSE
c-fa38e11c-d205-33f1-b8c0-b89fb9fe35bf,trained_model_v231_v231_1347,SUV,change_obj,FALSE
c-fd8f7b67-8726-36ff-ac3a-409a36d588f8,trained_model_v232_ppu_v2_qa_1347,SUV,cut_in_left,TRUE
